Slice,ROI,Density_Human,Linear_ext,Calcification
RS0030,1,1.577814706,3.685192444,0.581455083
RS0030,1,1.631327499,3.761049254,0.613550307
RS0030,1,1.651880863,3.761125492,0.621293122
RS0030,1,1.630756156,3.78788503,0.617711683
RS0030,1,1.611794663,3.761125492,0.606216199
RS0030,1,1.617855801,3.888138,0.629044662
RS0030,1,1.668086409,4.066001254,0.678244143
RS0030,1,1.637846735,3.938988746,0.645145986
RS0030,1,1.629564914,3.811976238,0.621186273
RS0030,1,1.673467063,3.659424,0.612392553
RS0030,1,1.728133011,5.065710148,0.875422093
RS0030,1,1.74704309,4.862408815,0.849483772
RS0030,1,1.706703264,5.065608497,0.864549056
RS0030,1,1.767382727,4.743833312,0.838416906
RS0030,1,1.731143857,4.659005831,0.806540933
RS0030,1,1.755448993,4.439033788,0.779249739
RS0030,1,1.721464113,4.760656497,0.819529931
RS0030,1,1.660731565,4.760656497,0.790617252
RS0030,1,1.691851187,4.591357312,0.776789332
RS0030,1,1.748980069,4.438779661,0.776333716
RS0030,2,1.729108122,3.40288313,0.588395286
RS0030,2,1.627280647,3.283799374,0.534366317
RS0030,2,1.632472816,3.379096874,0.551628379
RS0030,2,1.667838075,3.461281438,0.577285697
RS0030,2,1.689271501,3.587455328,0.606018605
RS0030,2,1.650307839,3.544075906,0.584881625
RS0030,2,1.595129688,3.475766658,0.554429859
RS0030,2,1.750957116,3.479731034,0.609285982
RS0030,2,1.650872079,3.428575336,0.566013929
RS0030,2,1.694588798,3.494673682,0.592203488
RS0030,2,1.63432714,3.338766972,0.545663748
RS0030,2,1.660556181,3.467380478,0.575778008
RS0030,2,1.776971016,4.179824588,0.742742715
RS0030,2,1.872390235,4.198579136,0.786137858
RS0030,2,1.734783545,4.14048578,0.71828466
RS0030,2,1.896089789,4.739640222,0.898678343
RS0030,2,1.81035238,4.734837228,0.857172385
RS0030,2,1.755339824,4.655549708,0.81720718
RS0030,2,1.832372033,4.664850744,0.854774204
RS0030,2,1.829592882,4.863145782,0.88975769
RS0030,2,1.691470198,4.634965448,0.783990592
RS0030,2,1.71879099,4.721266864,0.811487095
RS0030,3,1.375674545,2.994476164,0.411942463
RS0030,3,1.410251566,3.16463938,0.446293764
RS0030,3,1.320376586,3.253227936,0.429548599
RS0030,3,1.379833028,3.587150376,0.494966857
RS0030,3,1.374322633,3.697543,0.508161703
RS0030,3,1.432696889,3.682371638,0.527572239
RS0030,3,1.419899873,3.602702928,0.511547743
RS0030,3,1.353645951,3.648217014,0.493839419
RS0030,3,1.500124566,3.574113678,0.536161573
RS0030,3,1.424188013,3.547582854,0.505242497
RS0030,3,1.445503978,3.363315608,0.486168609
RS0030,3,1.513970151,3.161132432,0.478586015
RS0030,3,1.526140645,2.95117298,0.450390504
RS0030,3,1.53101637,2.8055584,0.429535584
RS0030,3,1.482380263,2.698901438,0.400079822
RS0030,3,1.502399042,2.4739231,0.37168197
RS0030,3,1.482825996,2.294230134,0.340194408
RS0030,3,1.471726964,3.172796846,0.466949067
RS0116,1,1.620288495,6.83962707,1.108216905
RS0116,1,1.574694855,6.890209521,1.084997748
RS0116,1,1.595793488,6.737984073,1.075243111
RS0116,1,1.622718284,7.069877622,1.147241968
RS0116,1,1.558940326,7.113479886,1.108949065
RS0116,1,1.576466837,7.264079811,1.145158092
RS0116,1,1.534246791,7.247250867,1.111907139
RS0116,1,1.595167481,7.601328024,1.212539127
RS0116,1,1.567526496,7.530283107,1.180391829
RS0116,1,1.554137752,7.566140232,1.175882417
RS0116,1,1.515070401,7.609073163,1.152828153
RS0116,1,1.509964109,7.434568488,1.122593158
RS0116,1,1.527312402,7.304144172,1.115570998
RS0116,1,1.502959201,7.76904375,1.167655579
RS0116,1,1.509415174,7.76904375,1.172671252
RS0116,1,1.46650451,7.930353003,1.162989844
RS0116,1,1.494068179,6.672198201,0.996871902
RS0116,1,1.544737565,6.558124734,1.013058164
RS0116,1,1.514024277,6.710350182,1.015963308
RS0116,1,1.570894872,6.862193154,1.077978404
RS0116,1,1.516867184,7.166835288,1.087113726
RS0116,1,1.583538096,7.025606025,1.112531479
RS0116,1,1.594709415,6.75739473,1.077608099
RS0116,1,1.476161524,6.535176174,0.964697562
RS0116,1,1.482425564,6.471876396,0.959407502
RS0116,1,1.392002779,6.162070836,0.857761973
RS0116,1,1.396554432,6.031264044,0.842298853
RS0116,1,1.453130128,5.788965498,0.841212018
RS0116,1,1.44221766,6.329212848,0.912810254
RS0116,1,1.454637312,5.888600496,0.8565778
RS0116,1,1.480736197,6.156142458,0.911562297
RS0116,1,1.365926105,8.976329244,1.226100245
RS0116,1,1.377519442,7.735385862,1.065564442
RS0116,1,1.371292826,7.375475946,1.011393725
RS0116,1,1.387392665,7.18481166,0.996815499
RS0116,1,1.323469381,6.346615506,0.839955129
